National Renewable Energy Policy (ANREP)	AFG	Full text (PDF)|https://policy.asiapacificenergy.org/sites/default/files/Afghanistan-Renewable-Energy-Policy-English-and-Dari.pdf|
Afghanistan National Peace and Development Framework (ANPDF) 2017-2021	AFG	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc29NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--48d0073268aa0e33ef0772fc9d931cc218dd5fbf/ANPDFEnglishWebsite.pdf|en
The Law On Regulating Forest Affairs 2011	AFG	Full text (WORD)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUlNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--062de537cedc767a8343681117ccd31c4046a337/2011%20Forest%20Law_23.09.2011_V.0.1.SE.doc|en
Legislative Decree on the Endorsement of the Power Services Regulation Act 	AFG	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdU1NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--80f5d44dff08ae5398d725ae74c2902d3397bcbb/2015%20Electricity%20Law.pdf|en
National Strategy of Energy	ALB	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4a0b174f8d489b467b3ab499a0a9385f8d4357b8/f|
Law 138/2013 on renewable sources of energy	ALB	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEVGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ccfd96271e59bc4986a2b70608a83b9230e3c3fb/f|
Law 7/2017 promoting the use of energy from renewable resources	ALB	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczRGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c292275535282c4b2623b245fd948dd2e50bb302/f|
Regulatory Order fixing the guaranteed purchase price and the conditions of their application for electricity generated from facilities using photovoltaic segment	DZA	
The National Climate Plan	DZA	
Executive Decree No. 2011-423 fixing the operating procedures of the Trust Account No. 302-1221 'National Fund for Renewable Energy and Cogeneration'	DZA	
Renewable Energy and Energy Efficiency Development Plan	DZA	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcDBJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ecf65ef79ec975ba401508b8e855a4620f1d0356/f|
Executive Decree No. 2011-33 on the establishment, organization and functioning of the Algerian Institute of Renewable Energy	DZA	
Executive Decree No. 10-258 establishing the powers of the Minister of Planning and the Environment	DZA	
Executive Decree No. 2006-138 regulating the emissions into the atmosphere of gases, fumes, liquids or solid particles	DZA	
Executive Decree No. 2005-375 Creating the National Agency on Climate Change, fixing its missions and defining terms of its organisation and operation	DZA	
Executive Decree No. 2005-495 relative to the establishment of energy audits for large consumers	DZA	
Law No. 04-20 relative to the Prevention of Major Risks and the Management of Catastrophes in the Framework of Sustainable Development	DZA	
Law No. 04-09 relative to Renewable Energy Promotion in the Framework of Sustainable Development	DZA	
Executive Decree No. 2004-92 On the Diversification of Power Generation Costs	DZA	
Law 99-09 relative to the Management of Energy	DZA	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbW9IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8f2d8a74a035c2459107a5ad08cf6816ca16b402/c|;Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbXNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8c62f90e227182fe85bab83757279c57ae9d8acc/f|
Law N. 21 on energy efficiency in buildings and promotion of the use of renewable energies	AND	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdVlIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--19c648cba87f79ec7ca9bea163f2df9fedd53837/f|
Decree creating the Office of Energy	AND	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaGtKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--49bc224755b4253e95134803b2691190d21d003a/f|
Decree on the granting of aid for the installation of renewable energy utilization systems in buildings	AND	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaFlKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--079133b84effdffebeae1dd861ff4ca2523291a4/f|
11-02-2015 Decree approving the Regulation of the activity of production of electricity in mini hydraulic power less than 500 kW and connected to the mains	AND	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbkVJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ac680b08714a4b68d4eb2460a9e7d24002d41aa6/f|
18-11-2015 Decree of Approval of the amendment of the Rules of construction	AND	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbVVJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6201eff156b8859c1bc725fda8be99f572865ead/f|
24-10-2012 decree approving the conditions of purchase of electricity generated by photovoltaic installations	AND	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbEFJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f343d56a020930968bd786f27cdd19f8cce12eaa/f|
Law 85/2010, of 18 November, provisional measures relating to the regime of electricity	AND	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdkVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--dc482fa57466cf56ce0af1c89c0089b722f93e6e/f|
Law 93/2010, of 16 December on measures to promote economic activity and social rationalization and optimization of the resources of the government	AND	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdk1HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--25fcf2a602f538a3defa11fe3b718cc21f01b145/f|
Presidential Decrees 17/14 and 92/18 on the National Institution of Meteorology and Geophysics (INAMET)	AGO	
Presidential Decree 88/13 which approves the Strategic Plan for New Environmental Technologies	AGO	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcElHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--692d4e1a634f12b3b7dba511e9935dcffd9ad1e9/f|
Executive Decree 65/13 which approves the Regulation of the National Direction of Petroleum and Biofuel	AGO	
Presidential Decree 184/12 which creates and approves the Statute of the Centre of Tropical Ecology and Climate Change (CETAC)	AGO	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb2dHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bb142483775a347898e12df800b9015d3dca9be9/f|
Presidential Order 10/12 which creates the National Committee on Climate Change and Biodiversity	AGO	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDBHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6512108aafa58039dcef204e0983b17891e87aa5/f|
Law 06/10 on sugar cane production for biofuel	AGO	
Resolution 52/08, establishing the National Strategy for the Implementation of UNFCCC and the Kyoto Protocol	AGO	
Executive Directive no. 303/14 -Internal Regulation of the National Direction for Renewable Energies	AGO	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb1lIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3bc26b04942d9fbb45a65714c78ba5ee1453ab57/f|
National Development Plan 2013-2017	AGO	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc3dHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c1d6401f1bcab7a653c090b7149f9b6a86ae2262/f|
Presidential Decree No. 46/14 approving the National Action Programme to fight Desertification	AGO	PANCOD|http://extwprlegs1.fao.org/docs/pdf/ang132051.pdf|
Presidential Decree No. 29/16 approving the National Plan for the preparation, resilience, response and recovery from natural disasters 2015-2017	AGO	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcU1GIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f86541576724b026f60469bcc9ebb1b34113feb5/f|
Presidential Decree No. 30/16 approving the Strategic Plan for the Prevention and Reduction of Disaster Risk	AGO	Plan 2013-2017|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVFGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--68541ee111857364a84d9a6f3aa79ea77ab3a6ea/f|
Presidential Decree No. 126/17 approving the National Water Plan	AGO	Full text (PDF)|http://extwprlegs1.fao.org/docs/pdf/ang168058.pdf|
Presidential Decree No. 45/18 approving the Statute of the Ministry of Environment (MINAMB)	AGO	Statute of the Ministry of Environment (MINAMB)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ3NGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--630f546511c755341e52a5380642a8e71a998d2d/f|
Executive Decree No. 303/14 on the National Directorate of the Ministry of Renewable Energy	AGO	DNER|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcWNGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f6008cd4b96e988668483b4f26a063397051a275/f|
Executive Decree No. 304/14 approving the Regulation of the Cabinet of the National Directorate of Rural Electrification	AGO	full text (Norwegian) (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ3dGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ea8f17ae6a1023ec6a1927cc619ec77d8bd435c7/f|
Resolution No. 122/09 approving the Strategy for the Development of Biofuels in Angola	AGO	full text (Norwegian) (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzRGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8693ae232471b4152d4962beeea7a0a066d155e4/f|
National Strategy on Food and Nutrition Security (2010-2025)	AGO	Resolution No. 130/09 |https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdjBFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--dd8a1a2c0278f16290c435db0aa7d14a0b520b96/f|
Law No. 27/15 amending Law No. 14-A/96 on the Basic Law on Electricity	AGO	full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzhGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3e7b388fc153e329582fd2db3e7d033e2d0abb33/f|
Angola Energy 2025	AGO	Angola Energy 2025|http://www.angolaenergia2025.com/sites/default/files/editor/livro_angola_energia_2025_baixa.pdf|
Ministerial Decision No. 223/17 creating the Commission for a National Conference on Climate Change and Sustainable Development	AGO	
Environmental Protection and Management Act, 2015	ATG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbUlHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--72a9d7d5f232992f9d91c449c268244352fcbb22/f|
Renewable Energy Act	ATG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbUVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fe33fe1ae8c7c0e45844a43b70d5d2648ee10436/f|
National Energy Policy	ATG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbUFHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4352fe1c8ad929fefc2e52a7f5c5bfc117b1ca63/f|
National Physical Development Plan	ATG	Full text - Physical Planning Act 2003|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcWNHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a296b6f70667b9355997d562ee15b280abe44b78/f|;Full text - Physical Development Plan|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcWtHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--29e15c091b652fc37c713c641d195b5fa9884456/f|;Full text - Zoning Plan|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcWdHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d156e142db3159854cc7d95417d577d0c2dd2e9a/f|
Medium Term Development Strategy 2016-2020	ATG	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcEFGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--55c3381f0ac2983853b948f6c20e8fccd4db5869/f|
Emergency Powers (Hurricane, Earthquake, Fire or Flood) Act No. 5/57 and Disaster Management Act No. 13/02	ATG	Disaster Management Act|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2NGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c761d667f889063f0464fa8a1a0fd98495b53dee/f|;Emergency Powers Act |https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ1lGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6b14d714abf250a5e5b0871c0542bf1b7d52cdce/f|
Law 26473 Prohibiting commercialisation of incandescent light bulbs	ARG	
Decree 140/2007: Presidential decree declaring rational and efficient energy use a national priority	ARG	
Law 26.093 (2006) Regimen of Regulation and Promotion of the Production and Sustainable Use of Biofuels	ARG	
Law 26.123 (2006) Promotion of Hydrogen Energy	ARG	
National Decree 1070/05 (2005) Creation of the Argentine Carbon Fund	ARG	
Law 25.019 Declaring a national interest to generate electricity from wind and solar energy	ARG	
Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energy	ARG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUFJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--54965c8a86b93863b75bd0c9dafd230d26974a5d/f|es;Full text - official document|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGNLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--34d2e8e4f4d64d5a415ef712cad18ab7e79a0665/2007%20(2).pdf|es
Law 27191 on Renewable Energy	ARG	Full text - original version|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGdLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0714e2aae7f870680c357364a997ba54a63b5ef7/2008%20(2).pdf|es;Full text |https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDhJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--60f7eef4bcbe53d7ecb81be2309e2adf5c01e2f3/f|es
Law 26.639 on Minimum Standards for Preservation of Glaciers and Periglacial Environment	ARG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2dJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6626b51d15168976a0ccc446cf2352b8936ceadf/f|
Creation of the National Climate Change Cabinet - Decree 891/2016	ARG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa1VKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--335f63460858becc782d484e687e03370ad1e41d/f|
Law no 27424 creating the Promotion Regime for Distributed Generation of Renewable Energy Integrated in the Public Electricity Grid	ARG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaW9HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ef4717ccf77bf7ae85611830c1b74468cde6d8af/f|
Law 25.080 for investments in cultivated forests	ARG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdFVGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--34f4f8ebcaa505a95b06b4b7ee230519533e9156/f|
Joint resolution 1/2018 creating the Environmental and Insurance Sustainability Program	ARG	
Law No. 27.287 - National System for Integral Risk Management and Civil Protection	ARG	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc01FIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--204aa834d3af6e9a1016fb71d242e79faad90f1d/f|
Law No. 26,509 creating the National System for the Prevention and Mitigation of Agricultural Emergencies and Disasters	ARG	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc0lFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1266851c587c889103a2585dbbc97534cc16027c/f|
Law No. 12,307 creating the Bicameral Commission for the attention and monitoring of natural disasters	ARG	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1FFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--62e1b3586f61454892f5a801681eb9e90a226772/f|
Decrees 476/2019 and 548/2019 on renewable energies	ARG	Decree 476/2019|https://www.boletinoficial.gob.ar/detalleAviso/primera/211142/20190711|;Decree 548/2019|https://www.boletinoficial.gob.ar/detalleAviso/primera/213104/20190808|
 Law 27520 on Minimum Budgets for Adaptation and Mitigation to Global Climate Change 	ARG	Link to official website|https://www.boletinoficial.gob.ar/detalleAviso/primera/224006/20191220|es
National Forest Programme	ARM	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbjRHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--df1e08360a2d3649af7eb8fad96d008eb16cbf67/f|
National Programme for Energy Saving and Renewable Energy	ARM	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbm9HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6af9d46d6808e0c9c87911b030ebde5f4daf1359/f|
Perspective Development Strategic Programme for 2014-2025	ARM	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBblFHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2948f48509633f5c3cf72424bddee0d31629686b/f|;Full text (armenian)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBblVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e79574bc216e716dd387789879b72db2b155c6d3/f|
Strategy for Development of the Energy Sector within the Context of Economic Development of Armenia	ARM	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzBHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d948b46cf59580d3effc222266977767baeb235a/f|
Strategy for Sustainable Rural and Agricultural Development for the period of 2010-2020	ARM	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbThHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c197789f2b49478e645f892d99bc5b4cd804b1a6/f|
Sustainable Development Programme (2008)	ARM	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbTBHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d20fb09206db1c78501088f9c1d8b5caf7c43437/f|
Law on atmospheric air pollution	ARM	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBc1FGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7ffc69740a5134101222845f2b9f32238a9f5eb4/f|
Law on Energy Efficiency and Renewable Energy	ARM	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdTBFIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--115777182cc067166180615a261d26db3307aecb/f|
Carbon Farming Initiative Amendment Bill 2014	AUS	
Greenhouse and Energy Minimum Standards Act 2012	AUS	
Clean Energy Finance Corporation Act 2012	AUS	Link to official website -  Clean Energy Finance Corporation Investment Mandate Direction 2020|https://www.legislation.gov.au/Details/F2020L00552|en
Australian National Registry of Emissions Units Act 2011	AUS	
Climate Change Authority Act 2011	AUS	
National Strategy on Energy Efficiency	AUS	
Offshore Petroleum and Greenhouse Gas Storage Act 2006	AUS	
National Greenhouse and Energy Reporting Act 2007	AUS	
National Climate Resilience and Adaptation Strategy	AUS	
National Energy Productivity Plan 2015-2030	AUS	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbnNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7bc313b19ea420ab2874d5be3412da5cc89da145/f|
Renewable Energy (Electricity) Act 2000	AUS	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzRJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f449b3498b48c2b858d26b720b73ad4eb8d088bb/f|
Building Energy Efficiency Disclosure Act 2010 (Act No. 67 of 2010)	AUS	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdmdIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b9234f93b7ee16fe3388b27a9a130c6873806e34/f|
National Strategy for Disaster Resilience	AUS	Full Text (PDF)|https://www.preventionweb.net/files/18017_nationalstrategydisasterresilience.pdf|
Climate Solutions Package	AUS	Full text|https://www.environment.gov.au/climate-change/climate-solutions-package|
Disaster Risk Reduction Policy for the Australian Aid Program	AUS	Full Text (PDF)|https://dfat.gov.au/about-us/publications/Documents/investing-safer-future-disaster-risk-reduction-policy.pdf|
The Reef 2050 Plan	AUS	Full text (2015) (PDF)|https://www.environment.gov.au/system/files/resources/d98b3e53-146b-4b9c-a84a-2a22454b9a83/files/reef-2050-long-term-sustainability-plan.pdf|;Full text (2018) (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcTRGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--59d4f83953dc755ab21df179007c460088e57a4a/f|
Australian Renewable Energy Agency Act 2011	AUS	Full text|https://www.legislation.gov.au/Details/C2017C00266|
Building Energy Efficiency Disclosure Act 2010	AUS	Full text|https://www.legislation.gov.au/Details/C2018C00446|
